Reinitialization requiredthe ProjectPosition_origin: 0.00693161 -0.800773 1.75048
WARNING: tranlsation vectors are empty!
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: 0.00693161 -0.800773 1.75048
the ProjectPosition_correc: 0.00693161 -0.800773 1.75048
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: -0.553569 -0.543912 1.64543
the ProjectPosition_correc: -0.553569 -0.543912 1.64543
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
